NPI,Name,Rating
103180500,Edward Baffoe-Bonnie,4.4
142246210,David Leopoldo Lopez,2.4
146745935,Susan A Baker,2.6
181828348,Frederick James Scavone,4.1
336143676,Paul Richard Williamson,2.2
659356129,Alexis Jose Beceiro,3.8
1003173386,Katia Mattos,4.5
1003868902,Mark Alan Whiting,2.9
1003872375,Howard Sander Koch,3.8
1013183425,Shana Friedman,2.8
1023038494,Surendra K Sirpal,2.7
1023080892,Phuc Vo,2.6
1023338076,Cheryl S Boyette,4.7
1023440989,Rosemary Arias,4.9
1033292941,Karl S Brot,4.3
1033374301,Imad V El-Jassous,4.2
1043223902,Carlos M Alonso,2.1
1043461684,Jennifer C Fulcher,2.5
1053303263,Steven J Zorn,2.1
1063489995,Ivonne Arean,4.1
1063828903,Terry Law,5.0
1073532677,Donald E Wheeler,3.8
1073558300,Steven Jay Smith,3.6
1083630206,Tatiana Jamroz,2.7
1083682496,Randy Kahn,3.8
1083896591,Giovanni S. Spatola,2.6
1093050478,Jamie Marques,3.6
1093705790,Jose A Cruz Jr.,2.5
1104110618,Faye Tran,4.5
1104258557,Jay Bret Williams,3.0
1104820158,Robert Paul Dalton,3.6
1104840966,Kathleen Anderson,1.6
1114914934,Francisco Flores,4.5
1124007166,Ricardo Luis Munoz,1.0
1124217021,Kevin R Murtagh,1.1
1124431218,Gerardo Guerrero,2.7
1134194079,Christine Marie Villoch,3.6
1144215138,Sudhir Agarwal,1.4
1144282641,Barry M Tuvel,2.6
1144292236,Ingrid Leeloy,4.8
1144583899,Alaa Eldin Kandil,3.3
1154567949,Yamila Santos,3.1
1154640100,Jennifer Elizabeth Payne,3.1
1154652741,Julie Braddy Roberts,3.5
1164421301,Michele A Cofield,2.7
1164490819,Vicente Eugene Font,4.2
1164650016,Michael Swartzon,4.8
1174594204,John M Lafferty,1.7
1184612640,Charurut Somboonwit,3.7
1184631764,William Harry Heitman,1.9
1184685869,Nathan C Devabose,3.1
1184695215,Raymond Michael Victor,2.5
1184862625,Luis Abrante Leyva,4.8
1184982993,Kerry-Ann D Miller,4.4
1205965233,Erin Shannon Parkinson,4.3
1215174057,Elizabeth S Del Rossa,4.5
1215176995,Magdala Limage Russo,4.4
1215284856,Sakina Mykea Butt,1.4
1225041163,Marisa F. Baker,4.0
1225072457,Bogdana Trop,4.9
1225171069,John Scott Ferguson,4.9
1235126228,Alan Albert Lewin,2.7
1245203058,Robert Paul Olson,5.0
1245556869,Eileen Marie Bernal,2.1
1255529442,Melinda Marie Blom,4.1
1255876470,Carolina Gradvohl Assis,1.9
1265438196,Myrlene M Ismael-Alleyne,2.6
1265776322,Harlee Ann Marie Bustamante,4.0
1275586109,Pamela T. Escalante,3.2
1285667394,Mark F. Puglisi Jr.,2.0
1295132900,Syed A Quadri,4.0
1295936920,Daniel Lawrence Cohen,2.5
1306989454,Odalys A Valencia,2.0
1316198039,Aisha Idrees,1.5
1316920259,Michael J. Mccleod,4.6
1316995855,Dennis Michael Liston,1.3
1326095894,Vikas R Soma,4.2
1336108521,David A Thompson,2.0
1336148972,Guillermo P Gubbins,2.0
1336578277,Christopher Spencer Servoss,4.9
1346292265,Mark H Smitherman,4.4
1346362357,Nauman Zaffar,3.4
1346560778,Xavier Roman,1.5
1356430623,Ketul Chauhan,3.9
1366559627,Mariam Alsharif,4.7
1376632760,Christopher Cann,4.4
1386772341,Renae Lea Degrella,1.6
1386862415,Robert Scott Bader,1.6
1386975175,Patrick Hourani,4.4
1407810971,Yvonne J Braver,4.8
1407963184,Margaret Hanks,3.7
1417157066,Alex Seda,3.0
1427081918,Subrahmanyam Devarakonda,1.3
1427355585,Richard Lansmann,4.6
1447343033,Michelle Diane Detweiler,4.1
1447481213,Niyomi De Silva,1.2
1447797691,Joseph John Przybylowicz,2.6
1467404921,Robert L. Proietto,4.1
1467434746,Elizabeth Marie De Aguirre,3.7
1477606366,Michael Alexander Gomez,4.2
1477874485,Michael Patrick O'Neill,4.3
1487107470,Kelly Paula,4.4
1487617270,Raul J Rosenthal,4.6
1487810503,Raoul Muse,2.1
1487843504,Marsha Shawn Zero,4.7
1487861498,Rodney David Rodrigo,1.1
1487962999,Cory Abbate,3.1
1497737647,Nathan Edward Nachlas,1.7
1508879123,Howard S Gill,3.1
1528029824,Nicole Renee Quint,3.9
1528269917,Andres O Soriano,2.9
1528422342,Monique Verastegui,1.3
1538100359,Mark John Honor,2.1
1538123211,Denise Craig Hayes,4.8
1538162540,Deborah S Rouchon,4.5
1538181680,Dean Latain Mccarley,2.3
1538195037,Howard B Heidenberg,1.7
1538267661,Siva K Kumar,4.1
1548423551,Nyhale Elgawley,1.6
1548463144,Kyle P. Allen,2.4
1558359364,David Michael Feldbaum,2.3
1558458984,Marsha M Martin,2.8
1558478909,Gary Joseph Curcio,4.4
1558516641,Kristen Ann Doddo,4.8
1568411676,Petra Ursel Neues,1.4
1568432623,Mario Madruga,1.8
1578509089,Malcolm Root,3.4
1578543799,Robert Waide Weaver,1.5
1588725329,Jodi Leigh Nickel,3.6
1588813968,Zelinda Bissell,4.7
1598711889,Christos James Pitarys Ii,4.7
1598736969,Ricardo L Machado,3.8
1598958670,Maggie Elizarde,3.3
1609010248,Denise Marie Bushee,2.5
1609075068,Jeanphis Laguerre,2.7
1609276732,Amanda Self,2.7
1609855683,Molly Ann Zachariah,5.0
1619102563,Hye Sook Chon,3.1
1619104973,Nathan Kfir,4.2
1619284940,Denise Hackett Cohen,1.4
1629037981,Mariana Berho,2.0
1639148745,Joshua Michael Purow,2.7
1649212739,Philip Mark Stern,1.7
1649228719,Michael B Sturm,2.1
1659473940,Eric K. Diner,1.9
1659485597,Saundra L. Stock,4.7
1659505782,Rusudan K Hopman,2.1
1659594497,Lisa Michele Campbell,4.8
1659658706,Terri E. Kaminsky,1.7
1669478087,Vincent G Carifi,3.6
1679023816,Manuel Silvestre,2.9
1679576805,Sambasiva K. Rao Musunuru,2.7
1679767404,Jean M Drewski,4.3
1679845440,Todd Gaunt,2.8
1689077661,Erica Vergara,1.6
1689705865,Anthony Peter Bastolla,1.8
1699151720,Kaitlyn Stahl,1.2
1699766881,David William Graham Jr.,2.9
1699838979,Joel Scott Grossman,3.3
1700017506,Keslie Gutierrez Velez,3.1
1700990355,Illena Antonetti,3.3
1710214747,Julie Bernberg,4.3
1710430673,Leigh Purvis,4.4
1720074545,Juan Carlos Acevedo-Crespo,4.1
1720287659,Abie Alias Samuel,1.2
1720446578,Esma F Etan,5.0
1730110420,Mark S Saglibene,1.3
1730452723,Anna Isabelle Gutierrez,2.2
1740286277,Susan Sandoval,4.8
1740407030,Matthew Kevin Rand,4.9
1750464152,Crystal Jenkins,4.1
1750620498,Lori Prince,4.0
1750716676,Magalys Torres,4.5
1760446314,Kevin A Dorsett,3.9
1760613426,Jason E. Portnof,3.7
1760642524,Christopher Mcnichols,4.4
1770727588,Robert Donald Mitchell,2.8
1780015966,Vibhaben J Patel,4.5
1780650374,Rolando G. Sy,2.2
1780812297,Javier Nieves-Costas,2.8
1780941468,Carlos N Montalvo,2.9
1790965242,Wendy M Kehl-Pruett,1.3
1801849617,Shayne Plosker,4.4
1811296197,Yelena Kazakova,1.0
1811927932,Harriet Van Elburg,2.3
1821086323,Scott Daniel Segal,1.7
1821108341,Matt Louis Leavitt,1.8
1821244500,Francisco A Schwartz-Fernandes,3.7
1821414210,Andrew Rauch,3.7
1831187947,Thomas Samuel,3.0
1831464932,Sara Farag,3.2
1831481431,Barrett Hunter Eubanks,1.4
1841267143,Ada Lopez-Mendez,4.5
1841467149,Muriel Elias Herring,1.0
1851736151,Mohammed Tabbaa,2.1
1861508392,Andrea Alexandra Polley,4.1
1861872731,Lisa Anne Cara,2.6
1871574186,Michael Diaz,1.3
1871589416,Lyle Craig Feinstein,4.1
1881837367,Suzette Marie Casais,3.0
1891097143,Melanie Lauren Cottone,2.5
1891724019,Larry Michael Perich,2.2
1891783080,Fernando E Bayron,3.8
1902071152,Carmen E Lazo,2.8
1912951351,Nicole D Darrough,3.9
1922031095,Marco A Amendola,3.9
1922248442,Scott Jason Aaron,4.1
1932170586,Michael J Achinger,4.7
1942238829,Paul A Beyer,4.0
1942499074,Joann M Gierbolini,3.9
1942658174,Felipe Lugo,3.2
1952354573,Nona Kalfayan,5.0
1952474561,Jon D Wiese,3.8
1962592790,Dayra Lila Bodan,1.9
1962831644,Astrid Cardenas Sarracino,1.1
1972517241,Benjamin A Biebel,1.4
1972865046,Armin Shivazad,1.7
1972879955,Rawan Faramand,1.6
1982154159,Leandra Julieth Berrios,3.7
1982622981,William Edward Riehl Jr.,3.6
1992743553,Douglas Rutkowski,2.3
1992769970,Charles M Miller,3.5
1992790596,Jacques Jean Pierre,4.4
1992947907,Sherri Rockower,5.0
12857669042,Jerold A Mills,2.4
13676857441,Mariangel Fernandez-Martinez,2.1
13767714344,Paul Rodriguez-Waitkus,3.9
14070352306,Luis J Feliz De La Cruz,3.9
14179579033,Natalie Sumner Leibensperger,4.1
15486255250,James B. Connors,2.0
16892961385,Kathryn Vorwald,1.4
17302281122,Danelle Kay Chambers,3.5
19134169824,Patrice A Davis,3.8
